time,open,high,low,close,volume,ticker,Info01,Info02
2023-07-03,10500,10500,10100,10200,15400,VNG,-1,0
2023-07-04,10200,10250,10000,10200,37100,VNG,0,0
2023-07-05,10200,10300,10000,10300,15400,VNG,1,1
2023-07-06,10250,10250,9950,10150,7600,VNG,-1,-1
2023-07-07,10100,10100,9520,9520,15200,VNG,-1,-1
2023-07-10,10050,10050,9890,9940,10300,VNG,-1,1
2023-07-11,9930,9930,9520,9850,17600,VNG,-1,-1
2023-07-12,9670,9800,9550,9790,7500,VNG,1,-1
2023-07-13,9560,9780,9560,9740,9900,VNG,1,-1
2023-07-14,9740,9740,9600,9600,9900,VNG,-1,-1
2023-07-17,9600,9710,9560,9690,21100,VNG,1,1
2023-07-18,9690,9690,9600,9650,31000,VNG,-1,-1
2023-07-19,9700,10000,9660,9790,27100,VNG,1,1
2023-07-20,9750,9790,9680,9770,10900,VNG,1,-1
2023-07-21,9770,9770,9580,9610,37800,VNG,-1,-1
2023-07-24,9610,9780,9580,9730,40600,VNG,1,1
2023-07-25,9630,9910,9410,9430,53700,VNG,-1,-1
2023-07-26,9410,9440,9100,9210,58400,VNG,-1,-1
2023-07-27,9160,9280,9060,9060,24000,VNG,-1,-1
2023-07-28,8960,9110,8960,9110,66800,VNG,1,1
2023-07-31,9120,9500,9120,9300,54200,VNG,1,1
2023-08-01,9450,9550,9350,9350,41600,VNG,-1,1
2023-08-02,9300,9480,9200,9480,16000,VNG,1,1
2023-08-03,9480,9630,9450,9450,55900,VNG,-1,-1
2023-08-04,9410,9500,9350,9450,16600,VNG,1,0
2023-08-07,9450,9450,9300,9300,29300,VNG,-1,-1
2023-08-08,9300,9450,9250,9400,23200,VNG,1,1
2023-08-09,9400,9590,9400,9570,40000,VNG,1,1
2023-08-10,9570,9650,9400,9500,35500,VNG,-1,-1
2023-08-11,9500,9540,9320,9450,46900,VNG,-1,-1
2023-08-14,9450,9510,9400,9460,38200,VNG,1,1
2023-08-15,9550,9550,9350,9460,26700,VNG,-1,0
2023-08-16,9400,9600,9290,9390,61400,VNG,-1,-1
2023-08-17,9440,9440,9170,9300,21600,VNG,-1,-1
2023-08-18,9200,9300,8800,8900,49900,VNG,-1,-1
2023-08-21,8770,9000,8600,9000,37200,VNG,1,1
2023-08-22,8830,9000,8790,9000,18700,VNG,1,0
2023-08-23,9000,9000,8810,8810,14100,VNG,-1,-1
2023-08-24,9390,9390,9000,9000,63400,VNG,-1,1
2023-08-25,9200,9360,9020,9100,39000,VNG,-1,1
2023-08-28,9150,9290,9110,9140,26600,VNG,-1,1
2023-08-29,9110,9110,9000,9020,31600,VNG,-1,-1
2023-08-30,8940,8970,8850,8950,33000,VNG,1,-1
2023-08-31,8950,8990,8830,8970,28200,VNG,1,1
2023-09-05,8890,9000,8890,8990,44300,VNG,1,1
2023-09-06,8990,9000,8910,8920,18800,VNG,-1,-1
2023-09-07,8920,9000,8910,8920,33100,VNG,0,0
2023-09-08,8900,8950,8900,8920,14500,VNG,1,0
2023-09-11,8990,9000,8820,8900,39600,VNG,-1,-1
2023-09-12,8920,9200,8900,8900,34700,VNG,-1,0
2023-09-13,8880,8980,8800,8830,14100,VNG,-1,-1
2023-09-14,8930,8930,8780,8780,40400,VNG,-1,-1
2023-09-15,8780,8880,8770,8880,26900,VNG,1,1
2023-09-18,8900,8900,8820,8820,11300,VNG,-1,-1
2023-09-19,8800,8850,8790,8850,25700,VNG,1,1
2023-09-20,8850,8900,8800,8820,15700,VNG,-1,-1
2023-09-21,8850,8890,8820,8860,13500,VNG,1,1
2023-09-22,8860,8860,8740,8820,29200,VNG,-1,-1
2023-09-25,8690,8860,8600,8840,29100,VNG,1,1
2023-09-26,8840,8840,8550,8800,17700,VNG,-1,-1
2023-09-27,8800,8800,8650,8780,39800,VNG,-1,-1
2023-09-28,8650,8800,8650,8770,15000,VNG,1,-1
2023-09-29,8770,8820,8770,8820,28600,VNG,1,1
